ItemSku,SKU,SkuVendorCode,SkuName,Product Type,VendorCode,Country,status,VendorType,SiteName,Plant Type,WarehouseName
BB882-32,BB882-32,BB882-32MGF,Villa bouquet,Mixed,MGF,Ecuador,Active,Floral,Villa Bouquet,One Time,
BB883-41,BB883-41,BB883-41ELT,Premium Jingle Bells and Berries,Mixed,ELT,Colombia,Active,Floral,Premium Jingle Bells and Berries,One Time,
BB886-36,BB886-36,BB886-36AGC,Enchanted (Luxe),Mixed,AGC,Ecuador,Active,Floral,Enchanted,One Time,
6814950187,BB887-28,BB887-28ELT,Velvet Bush,Mixed,ELT,Colombia,Active,Floral,Velvet Blush,One Time,
BB887-28,BB887-28,BB887-28ELT,Velvet Bush,Mixed,ELT,Colombia,Active,Floral,Velvet Blush,One Time,
6746421728,BB888-50,BB888-50SVG,50 lavender Peony Tulips (Luxe),Tulip,SVG,USA,Active,Floral,50 lavender Peony Tulips,One Time,SUN VALLEY
B0BQX692TD,BB888-50,BB888-50SVG,50 lavender Peony Tulips (Luxe),Tulip,SVG,USA,Active,Floral,50 lavender Peony Tulips,One Time,SUN VALLEY
BB888-50,BB888-50,BB888-50SVG,50 lavender Peony Tulips (Luxe),Tulip,SVG,USA,Active,Floral,50 lavender Peony Tulips,One Time,SUN VALLEY
BB889-32,BB889-32,BB889-32ELT,Windsord,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB891-36,BB891-36,BB891-36ELT,Tahoe,Mixed,ELT,Colombia,Active,Floral,The Concord,One Time,
BB551-24,BB892-18,BB892-18NTF,Deep Purple x18 40cm,Roses,NTF,Ecuador,Active,Floral,Count your blushes,One Time,
BB892-18,BB892-18,BB892-18NTF,Deep Purple x18 40cm,Roses,NTF,Ecuador,Active,Floral,Count your blushes,One Time,
BB892-18,BB892-18,BB892-18NTF,Deep Purple x18 40cm,Roses,NTF,Ecuador,Active,Floral,Count your blushes,One Time,
BB892-18,BB892-18,BB892-18NTF,Deep Purple x18 40cm,Roses,NTF,Ecuador,Active,Floral,Count your blushes,One Time,
7223789473,BB892-25,BB892-25SVG,Hyacinth and tulip bouquet,Mixed,SVG,USA,Active,Floral,Spring is in the Air/ Cupid's Bow,One Time,SUN VALLEY
BB892-25,BB892-25,BB892-25SVG,Hyacinth and tulip bouquet,Mixed,SVG,USA,Active,Floral,Spring is in the Air,One Time,SUN VALLEY
6813789741,BB894-34,BB894-34ELT,Astoria,Mixed,ELT,Colombia,Active,Floral,Winter Citrus,One Time,
BB894-34,BB894-34,BB894-34ELT,Astoria,Mixed,ELT,Colombia,Active,Floral,Winter Citrus,One Time,
6978435922,BB896-22,BB896-22ELT,Amarillo,Mixed,ELT,Colombia,Active,Floral,Be My Valentine / Playfullyt Pink,One Time,
BB896-22,BB896-22,BB896-22ELT,Amarillo,Mixed,ELT,Colombia,Active,Floral,Be My Valentine / Playfullyt Pink,One Time,
BB899-26,BB899-26,BB899-26ELT,Lima,Mixed,ELT,Colombia,Active,Floral,Sweet Love,One Time,
BB901-36,BB901-36,BB901-36FSN,Naples (Luxe),Mixed,FSN,Ecuador,Inactive,Floral,Garden Allure,One Time,
BB902-12,BB902-12,BB902-12AGC,Andrea Rose x12,Roses,AGC,Ecuador,Active,Floral,Andrea Rose x12,One Time,
6978436100,BB903-29,BB903-29ELT,Portland,Mixed,ELT,Colombia,Active,Floral,In Love with Lilac,One Time,
BB903-29,BB903-29,BB903-29ELT,Portland,Mixed,ELT,Colombia,Active,Floral,In Love with Lilac,One Time,
BB904-34,BB904-34,BB904-34ELT,Manchester,Mixed,ELT,Colombia,Active,Floral,Fuchsia Frenzy,One Time,
6807020377,BB906-34,BB906-34ELT,Piano Bar,Mixed,ELT,Colombia,Active,Floral,Piano Bar,One Time,
BB906-34,BB906-34,BB906-34ELT,Piano Bar,Mixed,ELT,Colombia,Active,Floral,Piano Bar,One Time,
BB906-34,BB906-34,BB906-34ELT,Piano Bar,Mixed,ELT,Colombia,Active,Floral,Piano Bar,One Time,
BB908-34,BB908-34,BB908-34EBT,Harlem,Mixed,EBT,Ecuador,Active,Floral,Pastel Skies,One Time,
BB909-25,BB909-25,BB909-25ELT,Condolence Bqt,Mixed,ELT,Colombia,Active,Floral,Condolence Bqt,One Time,
BB913P,BB913P,BB913PGNC,Ficus Burgundy,Plants,GNC,USA,Active,Floral,Ficus Burgundy,One Time,
8883965484,BB916-26,BB916-26ELT,Cali,Mixed,ELT,Colombia,Active,Floral,Sweet Blooms,One Time,
BB916-26,BB916-26,BB916-26ELT,Cali,Mixed,ELT,Colombia,Active,Floral,Sweet Blooms,One Time,
BB918-27,BB918-27,BB918-27ELT,San Jose,Mixed,ELT,Colombia,Active,Floral,Full Bloom,One Time,
BB922-26,BB922-26,BB922-26EBT,Toledo,Mixed,EBT,Ecuador,Active,Floral,Sunday Brunch,One Time,
BB927-22,BB927-22,BB927-22ELT,Omaha,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB927-22,BB927-22,BB927-22ELT,Omaha,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB931-28,BB931-28,BB931-28ELT,Montevideo,Mixed,ELT,Colombia,Active,Floral,Pop Of Spring,One Time,
BB937-24,BB937-24,BB937-24AGC,Goldfinch x24st,Roses,AGC,Ecuador,Active,Floral,Goldfinch x24st,One Time,
8503490124,BB938-25,BB938-25ELT,PF-Otto,Mixed,ELT,Colombia,Active,Floral,Sunshine and Cream,One Time,
BB938-25,BB938-25,BB938-25ELT,PF-Otto,Mixed,ELT,Colombia,Active,Floral,Sunshine and Cream,One Time,
7328523395,BB940-18,BB940-18NTF,Rose Paloma x18 40cm,Roses,NTF,Ecuador,Active,Floral,Pretty in Pink Roses,One Time,
BB940-18,BB940-18,BB940-18NTF,Rose Paloma x18 40cm,Roses,NTF,Ecuador,Active,Floral,Pretty in Pink Roses,One Time,
2757614765,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
7P-HU9X-00FU,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
B018H9R0L2,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
BB052-24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
BB944-24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
BB944-24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
FRMS24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
MSR-Freedom24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
NINTBB052-24,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
RED ROSES 12 ST_ONE TIME,BB944-24,BB944-24NTF,Red Freedom x24 40cm,Roses,NTF,Ecuador,Active,Floral,Splendid Red Roses,One Time,
BB945-28,BB945-28,BB945-28ELT,Buffalo,Mixed,ELT,Colombia,Active,Floral,Playful Pops Bouquet / Sunset Splash Bouquet,One Time,
BB948-15,BB948-15,BB948-15RPM,Winter in the Sierras,Mixed,RPM,PERU,Active,Floral,Winter in the Sierras,One Time,
7478003697,BB949P,BB949PGNC,White Paris Orchid in Pink Jane Matte,Plants,GNC,USA,Active,Floral,Paris in Pink,One Time,
BB949P,BB949P,BB949PGNC,White Paris Orchid in Pink Jane Matte,Plants,GNC,USA,Active,Floral,Paris in Pink,One Time,
BB950P,BB950P,BB950PGNC,5” Peace Lily,Plants,GNC,USA,Active,Floral,Peace Lily,One Time,
BB951-24,BB951-24,BB951-24MULT,Sweet Mama x24st 50cm,Roses,MULT,Ecuador,Active,Floral,UNKN,One Time,
BB952-28,BB952-28,BB952-28FSN,Canberra,Mixed,FSN,Ecuador,Active,Floral,UNKN,One Time,
BB953-18,BB953-18,BB953-18AGN,Lemonade Roses x18 40cm,Roses,AGN,Ecuador,Active,Floral,Lemonade Roses,One Time,
2956070528,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
BB047-24,BB954-24,BB954-24NTF,Rose Yellow Brighton x24 40cm,Roses,NTF,Ecuador,Active,Floral,Yellow Rose Bouquet,One Time,
