SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1140-18,Phoenix Rose x18 40cm,Roses,Phoenix Rose x18 40cm,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1733543703,18,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB1143P,"4"" Purple Orchid Duo on 5"" Grey Nate",Plants,Purple Orchid Duo with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1217563797,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1144-5,Hydrangea Big Petal Blueberry,Bunch,Blueberry Delight Hydrangea Bouquet,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1822583878,5,Small,Active,no match,,Perishable,One Time,FNA,Floral
BB1145P,"2.5"" Pink Orchid on 5"" White Evi",Plants,Cape Town with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=790202076,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1146P,"5"" Orange Bromeliad on 5"" Brown Wood",Plants,Fiery Bomeliad with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1405269547,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1147-5,Hydrangea Hulk Big Petal,Bunch,Emerald Enchantment Hydrangea Bouquet,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1336460707,5,Small,Active,no match,,Perishable,One Time,FNA,Floral
BB1148-15,Yellow Mini Callas x15,Bunch,Yellow Calla Lilies,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1109636219,15,Small,Inactive,no match,,Perishable,One Time,SVG,Floral
BB115-30,Sunset,Mixed,Sunset,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=127656293,30,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1159P,Rhoeo Spathacea Discolor Compacta,Plants,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=942981769,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB116-30,Harvest Gold,Mixed,Harvest Gold,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1104921144,30,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB117-30,Amber Sunset,Mixed,Amber Sunset,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=789170382,30,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1174P,"5"" Pink Bromeliad on 5"" White Evi",Plants,Pink Bomeliad with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=825982913,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
